Ni3P4PbO14 mp-651726
Re3S4Cl mp-653579
Ag2Pb8Cl4O7 mp-667327
Fe7S8 mp-685128
LiYO2 mp-7020
SiH14(O2F3)2 mp-707839
Ca2MgB2H16(CO9)2 mp-707983
BaRe2H12C3N6O11 mp-722880
FeP2H2O9 mp-743814
Zn2H10N12O5 mp-743935
MnPH2(CO)4 mp-744458
MoH4O5 mp-744482
LiAgF4 mp-753383
LiCrPO5 mp-755345
CaPbI4 mp-755943
LiFeBO3 mp-756421
Rb3SbO3 mp-757084
Li2Fe2C2O7 mp-757644
Li2VP3O10 mp-757972
LiV3(CoO6)2 mp-761188
Cr3(CuO6)2 mp-764630
KH(IO3)2 mp-766021
VPO5 mp-766127
Li3Bi(BO3)2 mp-768809
SnGeO3 mp-769144
Li6Ti2S6O mp-770212
Rb4TiO4 mp-771127
Y2TeO6 mp-771238
BaLaCl5 mp-772063
LaMgI5 mp-772116
LiMnP2O7 mp-776412
Li2Cr(PO3)4 mp-777104
Fe5(OF4)2 mp-777829
Ho2P4O13 mp-779147
P2H9(CBr)3 mp-779221
La2P4O13 mp-780003
LiFePH2O5 mp-780200
NiH20S2(NO7)2 mp-783904
LiMnP2O7 mp-849328
LiFe2P2HO8 mp-850747
CsB2H5O6 mp-867975
LiAgO2 mp-996962
AgAuO2 mp-996983
ZnCu2(BiO4)2 mvc-10116
CaNiP2O7 mvc-1313
Zn2CuIrO6 mvc-5710
Mg2MnIrO6 mvc-5782
AlCu(WO4)2 mvc-647
CaFe(GeO3)2 mvc-8866
CaCoBiO5 mvc-9251
MgSiO3 mp-1020124
Rb3Zn(BO2)5 mp-1020643
LaCuTeS mp-10288
SrLiBO3 mp-10814
Er2Si4Mo3 mp-1106326
Ho4C7 mp-1154
LaCuSe2 mp-11790
Te2N2O7 mp-1179247
NdC3O10 mp-1180367
Eu2HoTaO6 mp-1181527
Cu2H3ClO3 mp-1181662
Ba(ClO)2 mp-1190301
PrVO4 mp-1191389
Ir(SeBr3)3 mp-1194789
Ir(SeBr3)3 mp-1195337
TbH10C6S6N3O17F18 mp-1195523
K2Ce(PO4)2 mp-1195550
Zn2As2O9 mp-1195771
B20H30C2S mp-1196291
KVH2SeO7 mp-1196510
TmC6(OF)9 mp-1197080
FeTeO5 mp-1197402
CsU(OF)3 mp-1197993
BHO2 mp-1198592
Si2BPH28C9 mp-1199409
Na4Si4H18O19 mp-1199706
CS3 mp-1199888
Cs2MnSO4F3 mp-1199926
P2S7 mp-1199938
Ca(NO5)2 mp-1200135
Tm(PO3)3 mp-1200186
K2LiP3O10 mp-1200222
CsPSO2 mp-1200224
Cs2Mg(SeO7)2 mp-1200277
CsThMo2ClO8 mp-1200592
SiP2H18(C3Cl2)2 mp-1200839
UH16C4(NO3)2 mp-1201731
SrP3H10C3NO9 mp-1202041
KAu(Br2O)2 mp-1202314
Mg2As2O9 mp-1202676
Al2Fe(PO9)2 mp-1202735
Cs2HgCl4 mp-1203522
B10Pb4O21 mp-1203744
K2ZrS3O14 mp-1203851
KLu(SO5)2 mp-1204010
SbC2SCl3O mp-1204034
Cd2H18C8O17 mp-1204115
InAgP2O7 mp-1204248
Ca(B2O5)3 mp-1204348
Sr2CoSbO6 mp-1208869
Sm2Ta2O9 mp-1208912
LiDy6B3O14 mp-1211233
K2NiC4(SO)4 mp-1211754
K3Hf4Ag2F23 mp-1211819
K2Mo2C4O15 mp-1212036
Li3Y(NO3)6 mp-1212171
HfTlF5 mp-1212176
Er2MgTiO6 mp-1212787
Al2Te4O11 mp-1214880
Ti2Be3(SiO4)3 mp-1265679
CeSe2 mp-1320
K3YF6 mp-13230
Li3Pr2(BO3)3 mp-13772
Cs4SnO4 mp-17213
SrZrSi2O7 mp-17468
SrFeP2O7 mp-17881
ZnP2PbO7 mp-17924
NaVF4 mp-17999
Sr2HoCu3(PbO4)2 mp-18089
BaMgP2O7 mp-18343
Sr2SiO4 mp-18510
K2W2O7 mp-19037
Ni3(PO4)2 mp-22697
NaH4BrO2 mp-23674
H8PtN2(ClO)2 mp-23858
K2MgH12(SO7)2 mp-24438
Te3Cl2 mp-27628
K2BeO2 mp-27915
V2S2O11 mp-28207
SiCl4 mp-28391
BaMo3O10 mp-28465
CrInBr3 mp-28532
CsSbS6 mp-28701
Cd2P6O17 mp-29276
KAuI4 mp-29519
CsNaGe2 mp-29566
K2TeS3 mp-29692
Ta2CrO6 mp-31629
LiNb3O8 mp-3368
Sr3UO6 mp-3956
ScOF mp-4661
TlAsS2 mp-4988
Cu2H2CO5 mp-504588
RhF5 mp-540622
CsNb(PO4)2 mp-540750
Ce(SeO3)2 mp-541090
RbTm(PO3)4 mp-541168
Sr3GaSb3 mp-542625
BaWO4 mp-542837
Na6Si8O19 mp-554033
ZrHg3(SCl3)2 mp-554183
Rb2U(MoO5)2 mp-554226
Ni2P2O7 mp-554705
Na4Ni5(P3O11)2 mp-554790
MgH2(CO2)2 mp-555000
H8C3O2 mp-555128
BaMo2(PO6)2 mp-555338
RbTb(PO3)4 mp-555727
Hg3As8(S4Br3)2 mp-555833
SiPb4(BrO)4 mp-556172
KSrB5O9 mp-556250
Rb2Ce(NO3)6 mp-557282
NaB3O5 mp-557406
KNaSi2O5 mp-557679
La2TiZnO6 mp-558528
Pr4B10O21 mp-559104
Na3B5SO8 mp-560266
KLa(PS3)2 mp-560649
Mg2B2O5 mp-560772
ThSe2O7 mp-560863
Tl3Bi2I9 mp-569203
KLa5(CCl5)2 mp-571240
Ba3Na2(CN2)4 mp-571621
