H3ClO5 mp-625175
P(HO)3 mp-625207
H4N2O3 mp-625631
H4N2O3 mp-625686
H4N2O3 mp-625994
H3NO4 mp-626259
NaCe4I7N2 mp-646565
Os5C15SO15 mp-648912
RbTiPO5 mp-6539
ZnCuAs mp-676828
KMgP2H5O9 mp-677617
Fe4Te2MoC14(SO7)2 mp-683793
Gd3RuO7 mp-683963
CoPO4 mp-689940
CoPO4 mp-689943
RbTiPO5 mp-695439
BH5CN2 mp-696210
BePH3O5 mp-697592
H4NClO4 mp-698084
CsScAsO4F mp-699401
LiFePO4 mp-705312
H3NO4 mp-706430
K5NaP3(HO4)3 mp-707453
K2B5H5O11 mp-707775
Ru3C10I2O9 mp-707821
Na2B5H5O11 mp-720593
KUP(H2O3)3 mp-721081
LiBeH5(NF2)2 mp-721303
ZnH3CNO3 mp-722315
KBePO4 mp-7324
K2PHO4 mp-733468
BaSrI4 mp-752514
LiAgF2 mp-752882
Li3BiS3 mp-753520
PCl3O mp-753611
LiMn2O3F mp-756723
LiFePO4 mp-757027
LiCrPO4 mp-757270
LiCrPO5 mp-757330
LiNiPO4 mp-757682
LiSiBiO4 mp-757890
LiNiPO4 mp-758055
LiNiPO4 mp-758297
LiFePO4 mp-758459
LiMnSiO4 mp-758489
MnOF mp-758600
Li2FeSiO4 mp-758823
Li4Mn2Si4O13 mp-758881
Li4Cr2Si4O13 mp-759372
Na2LiCaVP2O9 mp-759615
Na2SrLiVP2O9 mp-759637
LiSn2(PO4)3 mp-760231
Na8TiO6 mp-761219
Si(Ag4S3)2 mp-7614
Na3PH22(SO4)3 mp-761853
LiCoSiO4 mp-762880
LiSnPO4 mp-765289
LiV2O3F mp-765841
CoPO4 mp-766042
Li3CrBO5 mp-768521
PrBiO4 mp-770111
Li2VBO4 mp-770151
NbAsO4 mp-770219
TaAsO4 mp-770359
Li2AlCoO4 mp-770553
Li3AlCrO5 mp-770586
Na2Ge2O5 mp-771248
Dy2Cu2O5 mp-771325
Mn2O3 mp-771717
AlGaO3 mp-772187
Ca2Cu2O5 mp-772813
KNaZrSi3H4O11 mp-773906
LiCrPO4 mp-774364
LiZnAsH2O5 mp-774651
Sc2O3 mp-775837
LiCoSiO4 mp-777657
Cd(BO2)2 mp-780395
LiFePH2O5 mp-780629
LiSbP2O7 mp-780724
LiFePH2O5 mp-850403
LiMnSiO4 mp-850969
Ca2SnS4 mp-866813
LiNiPO4 mp-867551
Ag2H4(SO4)3 mp-867593
CsBeAsO4 mp-9113
CaCr2O4 mp-996948
Ca3(CoN2)2 mvc-10858
BaCa2(CoN2)2 mvc-11312
Cr3N2 mp-1014444
Ca8Si5O18 mp-1019570
Rb4B2S4O17 mp-1020662
Ca7SiN6 mp-1029474
CeSe2 mp-1080344
SiO2 mp-10948
CrN2 mp-1096917
Li2Zr2O5 mp-1097053
BaSrI4 mp-1178508
ZnH16C4S4(N5O3)2 mp-1179600
PNO3 mp-1179877
PrSe2NO13 mp-1179910
La2C3O17 mp-1181011
Li4Re6S11 mp-1181012
Na4XeO14 mp-1181112
CaZn2(PO5)2 mp-1181992
Mg4Si6O23 mp-1182691
Sr2SnO4 mp-1194203
KAsO3 mp-1194970
WI4 mp-1195045
HgP2Xe5F22 mp-1195071
FeH12C2(NCl2)2 mp-1195083
Na3MnS2(O4F)2 mp-1195590
Ga2Se2O7 mp-1196063
Ca2Al2Sn2O9 mp-1196891
Rb3P11 mp-1197062
Ag6Sn3(S5N)2 mp-1197642
Fe2P12W mp-1199047
In2Se2O7 mp-1199125
SiH8C(N2F3)2 mp-1199716
LiTiNF6 mp-1200267
PNO3 mp-1200596
H14C5SN3ClO2 mp-1200704
RbZrN3O11 mp-1200966
Tb4Te3N2 mp-1201395
Pb(SeO3)2 mp-1201603
Pr4As2S9 mp-1201868
Sn(NF2)4 mp-1202072
Nd2C3O17 mp-1202637
BaSn2S5 mp-1202711
K2AlSO4F3 mp-1203080
MgH8(ClO2)2 mp-1203165
Sm2Ge(BO4)2 mp-1203325
Na4XeO14 mp-1203687
BeH12C4(SBr)2 mp-1204117
Tb2Ge(BO4)2 mp-1204495
Cd(NO3)2 mp-1204701
Na2TiSi4H2O13 mp-1205145
AlB3(H5N)6 mp-1205240
TaSbO4 mp-1205391
ZnH2C4(S3N2)2 mp-1207565
Tm2(SO4)3 mp-1208214
TlBr4N mp-1208425
Tb2(SO4)3 mp-1208801
PC18F17 mp-1210382
Nd(PO5)2 mp-1210882
KHo(MoO4)2 mp-1211556
KLu(MoO4)2 mp-1211734
K2TeMo2(PO7)2 mp-1211929
K2Hg3S4 mp-1211986
Mg4Si6H6O17 mp-1212371
Er(PO5)2 mp-1213544
CaZrSi3H4O11 mp-1227600
Na4W8XeO6 mp-1238551
AlAgO2 mp-1239228
Sr7SN6 mp-1245374
Ca7OsN6 mp-1245383
Sr7TiN6 mp-1245386
Ba3Y2N4 mp-1245452
Sr7CN6 mp-1245482
Sr3(OsN2)2 mp-1245563
Sr7ZrN6 mp-1245667
Sr3(RuN2)2 mp-1245671
Cr3(GaN2)2 mp-1245713
Sr3(NiN2)2 mp-1245725
Sr3(WN2)2 mp-1245880
Ca7RuN6 mp-1245935
Cd3(GaN2)2 mp-1245961
Ca3(MnN2)2 mp-1246021
Sr3(ReN2)2 mp-1246037
Zn3(GaN2)2 mp-1246054
Mo2Pb3N4 mp-1246071
Ca3(VN2)2 mp-1246086
Ca3(InN2)2 mp-1246099
Ba3(VN2)2 mp-1246125
Sr3(CrN2)2 mp-1246148
Ba3(CrN2)2 mp-1246167
Nb2Pb3N4 mp-1246173
Ba3(InN2)2 mp-1246176
Ba3(CoN2)2 mp-1246197
Os2Pb3N4 mp-1246200
Ca3(TaN2)2 mp-1246228
Ba3(TaN2)2 mp-1246320
Cr7GeN6 mp-1246388
Ca3Sc2N4 mp-1246427
Sr3(GeN2)2 mp-1246434
Ru2Pb3N4 mp-1246441
Ba3(NbN2)2 mp-1246466
Sr3(SbN2)2 mp-1246469
Ba7SnN6 mp-1246481
SiPb7N6 mp-1246561
Ca3(IrN2)2 mp-1246583
Ba3(GeN2)2 mp-1246626
Ca3(TiN2)2 mp-1246652
Ba3(MnN2)2 mp-1246671
Cr2Pb3N4 mp-1246751
Ca3(MoN2)2 mp-1246761
Sr7SnN6 mp-1246791
Zn7SnN6 mp-1246829
Sr4GeN4 mp-1246832
Ca7SN6 mp-1246839
Sr7SeN6 mp-1246854
Ca3(WN2)2 mp-1246855
Sr3(AuN2)2 mp-1246903
Mn2Pb3N4 mp-1246959
Ca3(NbN2)2 mp-1246963
Ba3(RuN2)2 mp-1247072
Ba3Sc2N4 mp-1247132
Ba3(IrN2)2 mp-1247183
Mg4GeN4 mp-1247225
Sr4SiN4 mp-1247264
Sr3(TiN2)2 mp-1247349
Ca3Y2N4 mp-1247388
Sr7CrN6 mp-1247406
Ba3(OsN2)2 mp-1247412
Sr3Zr2N4 mp-1247420
Sr3(VN2)2 mp-1247427
Sr3(MoN2)2 mp-1247568
SrLaCoO4 mp-1273504
ScTeO3F mp-13551
CsNaSnF6 mp-14380
Li2Mg2(SO4)3 mp-14646
TmAu2F9 mp-14761
LuAu2F9 mp-14802
Sr3(GaN2)2 mp-16945
Na2Si2O5 mp-16970
Ba3(AlN2)2 mp-17133
Rh2O3 mp-1716
MgNb2O6 mp-17953
Ba3(GaN2)2 mp-18297
ZnSe2O5 mp-18373
K2MnSO4F3 mp-19304
WO3 mp-19342
Al2O3 mp-1938
PbO2 mp-20633
V2C mp-20648
Sb2O3 mp-2136
Fe2(MoO4)3 mp-21925
Si3Ru2 mp-22192
Nb2NiO6 mp-22198
BaZnCl4 mp-23373
NbBiO4 mp-23413
TaBi4ClO8 mp-23602
Th2Se5 mp-2392
TiH12(NF2)4 mp-23927
H4N2O3 mp-24834
Ti(PO3)4 mp-26114
K2Zr2O5 mp-27522
Gd2NCl3 mp-28279
Ag4Bi2O5 mp-28996
LiBiO3 mp-29077
NaScCl4 mp-29432
Bi3BrO4 mp-29447
BaPdCl4 mp-30102
Zr(Se2Cl3)2 mp-30113
TaBiO4 mp-30900
Ca(BO2)2 mp-3417
Na3P11 mp-473
TlAg3S2 mp-4762
Na2W(OF2)2 mp-505382
Fe2O3 mp-510080
WO3 mp-510417
CsPr(SO4)2 mp-540686
VBiO4 mp-540864
Rb3As11 mp-542233
Bi7Mo2(AsO8)3 mp-554090
CdGe(BiO3)2 mp-555027
Rb5H5(OF3)2 mp-555178
Li2Te2O5 mp-555939
Pb2CO3F2 mp-555946
Y10W2O21 mp-556220
V2CdO6 mp-556313
SrGaBO4 mp-556343
Bi2O3 mp-556549
Zn2TeCl2O3 mp-557130
Mn(PO3)3 mp-557190
LiC2S2N(O2F3)2 mp-557395
SiO2 mp-557465
Zn2TeBr2O3 mp-558350
Nd2Ti3(ClO4)2 mp-559560
AgTeNO5 mp-559562
TiTlPO5 mp-559607
K2Ag6Sn3S10 mp-559880
LiAl(PO3)4 mp-559987
H5CNO3 mp-560121
K4Sb2N3O9F7 mp-560219
H11C10NO8 mp-560961
Sr3MgGeN4 mp-567398
K3Ga3As4 mp-567524
Sr7GeN6 mp-568436
H8C2I3N mp-568713
TlAu(CN)2 mp-569173
MgTe2O5 mp-5746
Cs2Nb4O11 mp-581217
SrCu2(PO4)2 mp-582585
Cu2P2PbO8 mp-582882
ZnH8C4(NO3)2 mp-601243
LiH8C2S2NO5 mp-605006
Gd4Au2O9 mp-623092
Fe4Te2(CO)11 mp-624762
GeTe mp-628781
V2P2O9 mp-628951
SiO2 mp-639748
TlP(HO2)2 mp-643701
MgSiO3 mp-644879
TaSbO4 mp-647226
Nd5(FeB)18 mp-650968
Te2Ru4(CO)11 mp-651231
K2Fe2P2O7F2 mp-651601
Fe2Te2Ru2(CO)11 mp-651724
Co4Pb(CO)16 mp-653887
Na2UO4 mp-669528
LiSb(PO3)4 mp-672958
Li4Re6S11 mp-679944
Ca4Al6O13 mp-680193
LiBi(PO3)4 mp-684506
Nb6HI11 mp-696500
H6CN2O3 mp-696658
Gd2Mo5O18 mp-704238
BaP2(HO2)4 mp-706400
ZnH16C4S4(N5O3)2 mp-706601
HC2S2N(O2F3)2 mp-707466
