Mg3Pd mp-18712
ScMnO3 mp-18954
Zn2Mo3O8 mp-19216
YbEuSi4N7 mp-20295
Sr4Cl6O mp-23321
Ca4Cl6O mp-23326
LiMnH6O7 mp-23785
CuH mp-24093
H8W3Se(NO6)2 mp-25729
KNiCl3 mp-27366
RbTiI3 mp-27812
CdBr2 mp-27934
Li8SiO6 mp-28549
Ta3TeI7 mp-29117
Rb2PuCl6 mp-29336
Nb3TeI7 mp-29689
Ba4I6O mp-29909
Sr4I6O mp-29910
RbLi7Ge8 mp-29974
TbAgSn mp-31422
WO3 mp-32662
Ca3SiO5 mp-37657
K6HgS4 mp-5114
Cs3As mp-542220
HoGeAu mp-5519
TmMnO3 mp-554211
Sm4Br6O mp-554768
Yb4Cl6O mp-554831
Ba5Re3ClO15 mp-556647
Pr4S3NCl3 mp-558143
Hg3AsS4Cl mp-559355
Ba6Nb14Si4O47 mp-560469
Zn2In2S5 mp-560806
Ho3Se4O12F mp-561124
ZnS mp-561258
ZnS mp-561286
Cu3P4S4I3 mp-565597
CuI mp-569346
CdI2 mp-570054
Al5C3N mp-570079
CdI2 mp-570089
K4Sr2SnAs4 mp-570311
Ce4FeSe6O mp-579188
Ba3Y(BO3)3 mp-6310
CdHClO mp-644222
Na3As mp-655
SrYSi4N7 mp-6606
Cs3B6H12S4Br mp-695929
Al5HO8 mp-696529
BaCaCO3 mp-696695
H2O mp-703459
WO3 mp-705411
Cu3P mp-7463
LiCoO2 mp-753473
Li8TiS6 mp-753546
Na6MgO4 mp-753816
TiO2 mp-756587
Li3Co3NiO8 mp-759916
Na8SnO6 mp-761931
Na8TiO6 mp-764647
MnTlO3 mp-768374
Li8FeS6 mp-768400
LuGaO3 mp-768505
YHoO3 mp-768889
HoGaO3 mp-769045
Rb8SnO6 mp-769294
Mn3VO8 mp-771315
Li2TiFe3O8 mp-771820
Li2Ti3SnO8 mp-771832
DyErO3 mp-772188
Li8TiO6 mp-772521
Li2Cr3TeO8 mp-778197
GaN mp-804
Ca3SnS5 mp-866509
Ta7BiO19 mp-867839
GaP mp-8882
ZnTe mp-8884
TbCuGe mp-9387
Ni5As2 mp-941
LiBeSb mp-9575
LuBr mp-973976
RhI mp-975142
LiBr mp-976280
ZnS mp-9946
SnS2 mp-9984
MoO3 mvc-13534
WO3 mvc-13988
Mo3O8 mvc-14257
YSbO3 mvc-3460
YAgO3 mvc-3470
YBiO3 mvc-3479
YCoO3 mvc-3765
YVO3 mvc-3770
Mg2Sn3O8 mvc-7646
Ti3Zn2O8 mvc-7679
Ca2Sn3O8 mvc-7761
