Tl3PdCl5 mp-29460
Bi2W2O9 mp-29782
Nd4Au2O9 mp-3374
Li2Si2O5 mp-3552
Y2(WO4)3 mp-3629
SrTeO4 mp-4274
MgSiO3 mp-5026
UFeO4 mp-504549
Na2W(OF2)2 mp-505382
Fe(PO3)4 mp-540077
K3As11 mp-541000
Bi7Mo2(AsO8)3 mp-554090
Ba3Tb2(PS4)4 mp-554264
Pr2Ti3(ClO4)2 mp-554363
Er10W2O21 mp-554807
LiEr2S2O8F3 mp-555002
SnO2 mp-555487
CO2 mp-556034
Na2EuC(OF)3 mp-556836
Y2(MoO4)3 mp-556937
Ga2Pb2S5 mp-557672
PSN(Cl2O)2 mp-557775
AlBPbO4 mp-558137
Nd4Ga2S5O4 mp-558333
Ag2Hg(SeO3)2 mp-558763
CaTeCO5 mp-559128
Ba3Ho2(PS4)4 mp-559171
AgBO2 mp-559803
SiO2 mp-560203
K2ZrS4 mp-560331
Ba3Er2(PS4)4 mp-560534
H8CN2(ClO5)2 mp-560730
AlPO4 mp-561027
Al2Si2Pb2O9 mp-561246
AlHg2SbCl4 mp-568001
Ca3N2 mp-568293
Ca7GeN6 mp-570555
GaHg2SbCl4 mp-571190
YbBr2 mp-571232
CaCl2 mp-571642
MgTe2O5 mp-5746
CsCrI3 mp-580597
Li2Ge7O15 mp-5832
Na2Ti2Si2O9 mp-5996
CuH12C5S4N mp-600172
EuTl(MoO4)2 mp-602551
PH9AuC3S3Cl mp-603254
RbH5C7SO5 mp-604583
AgNO3 mp-638686
Nb2FeO6 mp-645545
Nb2Ni4O9 mp-646749
Cr2(MoO4)3 mp-647862
Cs2As8S13 mp-650280
Bi2Te2O7 mp-667426
Si3Ru2 mp-669501
BaSi2(NO)2 mp-6764
TlB5O8 mp-680122
K3Co(CN)6 mp-680180
AlPO4 mp-683883
Rb8U9O31 mp-683981
Ba3Gd2(PS4)4 mp-684036
Sm11Br24 mp-684193
LiBi(PO3)4 mp-684506
KC2S2N(O2F3)2 mp-6902
CaH4(ClO)2 mp-696166
Ca2H2S2O7 mp-696490
H2CN2 mp-703527
Cr(PO3)4 mp-704231
Gd2Mo5O18 mp-704238
Ni2P4C11S2(OF8)3 mp-705014
KH3(SeO3)2 mp-706579
Na2GeH12S2O7 mp-707055
CuH4C3ClO2 mp-707169
InP(H2O3)2 mp-707473
Fe3P2H6O11 mp-720286
H7IN2 mp-721084
Na3SiH5O6 mp-721564
CuH4C2S2N2Cl mp-721604
CdHSeNO6 mp-723054
Mg3B11(H3O8)3 mp-733898
BaSrI4 mp-752402
BaSrI4 mp-752408
LiAgF4 mp-752460
LiCuF4 mp-753273
Cs2CaO2 mp-753803
LiVF4 mp-753969
K2MgO2 mp-755802
LiVF4 mp-755904
Rb2MgO2 mp-756372
Sr2CaI6 mp-756798
LiNiPO4 mp-757300
LiNiPO4 mp-757820
Li2Fe2Si2O9 mp-758821
LiBi(PO3)4 mp-759360
Yb2(WO4)3 mp-759447
Li2Ni2(SO4)3 mp-764857
Ba2CaI6 mp-766340
BaCa2I6 mp-766352
Lu2(WO4)3 mp-768455
Co2(SO4)3 mp-768456
Li2Sn2(SO4)3 mp-768755
Li2Ni2(SO4)3 mp-768896
Sn2(SO4)3 mp-768943
K5YO4 mp-769176
Dy2(SeO4)3 mp-769232
Sr4Ta2O9 mp-769283
Ca4Ta2O9 mp-769301
AgH3O2 mp-769355
Li2V2(SO4)3 mp-770191
Li2MnSO4F3 mp-770642
Ca2CeO4 mp-770977
Ta2PbO6 mp-771771
Li2Ti2O5 mp-772049
