Li2TiFeO4 mp-769658
Li2Mn3CuO8 mp-772456
LiCrPO4 mp-772647
InP2H9(NO4)2 mp-773646
LiFeBO3 mp-777049
Ge2N2O mp-777483
Li3MnV(PO4)3 mp-777828
Li3MnV(PO4)3 mp-777882
Li3MnV(PO4)3 mp-779239
LiCo2OF5 mp-780316
CoPO4 mp-849770
Li3V3P8O29 mp-849998
LiVP2(HO4)2 mp-850751
LiVP2(HO4)2 mp-851103
Li3V3P8O29 mp-863360
Ca4SnS6 mp-866473
Li6PS5I mp-950995
ZnSbF5 mvc-14279
Sr6YGa3(Cu2O7)3 mvc-15173
Ca2YAgO5 mvc-5327
Ca2YSbO5 mvc-6159
BaN2 mp-1001
Ce3ZrO8 mp-1019591
K2Se2O mp-1080432
CrN2 mp-1096935
CaSnS3 mp-1100379
Zr2N2O mp-1101159
Li2FeP2O7 mp-1101596
NaFeBO3 mp-1101655
VPO5 mp-1104323
Ca(BO3)2 mp-1105926
Rb3Bi2I9 mp-1120726
Ti2ZnSn2O7 mp-1120808
Be3Fe4Si3TeO12 mp-1134064
LiFe2(PO3)5 mp-1176742
Li3VFe3O8 mp-1177549
Li2FeSnO4 mp-1177968
Er2TiO5 mp-1178356
Sr(H2O3)2 mp-1179405
Si2H2O3 mp-1179458
PtO6 mp-1179856
Pr2S3O20 mp-1180024
Na3NpO6 mp-1180326
MgHg2(BrO)6 mp-1180558
Ca(NO4)2 mp-1182253
LiAl(PS3)2 mp-1188124
Ca3(GaP2)2 mp-1189986
Na2Cd(GeS3)2 mp-1190146
TiP2PbO8 mp-1191155
Li2In2SiSe6 mp-1191817
HgTe2(OF5)2 mp-1192364
Ag12Sn7H16(Se11N2)2 mp-1195193
LiH2ClO5 mp-1195620
ErTl2P2Se7 mp-1195632
Gd2(MoO4)3 mp-1195696
K4B10H4O19 mp-1197401
H6C(SN)2 mp-1197785
K3Ta2Cu3S8 mp-1197797
As2H2CCl4 mp-1198214
Eu4B4O11F2 mp-1199066
PrSbMo2O9 mp-1199237
Ca2Cd(BrO2)6 mp-1199745
H7AuN4O15 mp-1201215
K2Na2Nd4Nb2O13 mp-1201519
Si8C3Cl20 mp-1203441
ScBi3(MoO6)2 mp-1209046
KHCN4O5 mp-1211566
CuHg3As2Cl3 mp-1213415
BaNbI5O16 mp-1214520
V3Bi(PbO4)3 mp-1216962
Ti5Bi4(PbO9)2 mp-1217792
SrV2(AsO5)2 mp-1217810
Sr3Nd4O9 mp-1218602
SbC6S2F19 mp-1219560
Na4Ca2SnP4 mp-1221212
Na4Eu2GeAs4 mp-1221216
Na2Al2B2O7 mp-1221428
KNa5TeO6 mp-1223392
K4Ba2SnP4 mp-1224114
Hf2Se3 mp-1224485
Fe11S12 mp-1225858
Hg2C3I5N mp-1225947
Cs3Pr5(PS4)6 mp-1226429
Cd4Ge(SeS)3 mp-1226966
Ce2(MoO4)3 mp-1227172
Ba3Ta6Fe2O21 mp-1228561
Ba6La2Fe4O15 mp-1228690
Ba4Sr2La2Co4O15 mp-1228696
Sr3(CrN2)2 mp-1246157
Sr5(MnN3)2 mp-1246690
ZnCr(SiO3)2 mp-1248912
Mg3Mn2(Si2O7)2 mp-1250887
Mg3Cu2(Si2O7)2 mp-1254120
Ti2Zn3(Si2O7)2 mp-1259911
Sr2AlCu2BiO7 mp-1262316
Li4NbCo3O8 mp-1273584
FePH6NO5 mp-1282683
Mn5O3F5 mp-1292551
Co5SbO8 mp-1304367
Li2V3CoO8 mp-1305934
LiTiMnO4 mp-1307365
In(PO3)3 mp-14535
Cu2SiSe3 mp-15896
Mg2Nb2CrO8 mp-1661120
Cd4SiS6 mp-18179
Mn2Te3O8 mp-18607
NaVO3 mp-19083
LaMnO3 mp-19157
LiVO3 mp-19373
U2FeS5 mp-21037
K2In3CuSe6 mp-21713
Ti(SiO3)2 mp-25301
LiCu(PO3)2 mp-25975
Li2Cr(PO3)4 mp-26417
Li3V3(PO4)4 mp-26421
B5H11N2 mp-27892
La2Be2O5 mp-28072
Ag2TeS3 mp-29163
Cd2P3I mp-29244
Cd2P3Cl mp-29246
Na3InS3 mp-29375
CsBiO2 mp-29506
Pr2Te4O11 mp-2980
H18SO12 mp-31373
Li3TaO4 mp-3151
Li3Cr2(PO4)3 mp-31729
S3(NO)2 mp-3496
SiPN3 mp-36053
Si2N2O mp-4400
